A1BG	alpha-1-B glycoprotein
WIPI1	WD repeat domain, phosphoinositide interacting 1
WIPI2	WD repeat domain, phosphoinositide interacting 2
WISP1	WNT1 inducible signaling pathway protein 1
WISP1-OT1	WISP1 overlapping transcript 1
WISP2	WNT1 inducible signaling pathway protein 2
WISP3	WNT1 inducible signaling pathway protein 3
WIZ	widely interspaced zinc finger motifs
WIZP1	widely interspaced zinc finger motifs pseudogene 1
WLS	wntless Wnt ligand secretion mediator
WNK1	WNK lysine deficient protein kinase 1
WNK2	WNK lysine deficient protein kinase 2
WNK3	WNK lysine deficient protein kinase 3
WNK4	WNK lysine deficient protein kinase 4
WNT1	Wnt family member 1
WNT2	Wnt family member 2
WNT2B	Wnt family member 2B
WNT3	Wnt family member 3
WNT3A	Wnt family member 3A
WNT4	Wnt family member 4
WNT5A	Wnt family member 5A
WNT5A-AS1	WNT5A antisense RNA 1
WNT5B	Wnt family member 5B
WNT6	Wnt family member 6
WNT7A	Wnt family member 7A
WNT7B	Wnt family member 7B
WNT8A	Wnt family member 8A
WNT8B	Wnt family member 8B
WNT9A	Wnt family member 9A
WNT9B	Wnt family member 9B
WNT10A	Wnt family member 10A
WNT10B	Wnt family member 10B
WNT11	Wnt family member 11
WNT16	Wnt family member 16
WRAP53	WD repeat containing, antisense to TP53
WRAP73	WD repeat containing, antisense to TP73
WRB	tryptophan rich basic protein
WRBP1	tryptophan rich basic protein pseudogene 1
WRN	Werner syndrome RecQ like helicase
WRNIP1	Werner helicase interacting protein 1
WS2B	Waardenburg syndrome, type 2B
WSB1	WD repeat and SOCS box containing 1
WSB2	WD repeat and SOCS box containing 2
WSCD1	WSC domain containing 1
WSCD2	WSC domain containing 2
WSN	Waisman syndrome
WSPAR	WNT signaling pathway activating non-coding RNA
WT1	Wilms tumor 1
WT1-AS	WT1 antisense RNA
WT2	Wilms tumor 2
WTAP	Wilms tumor 1 associated protein
WTAPP1	Wilms tumor 1 associated protein pseudogene 1
WTIP	Wilms tumor 1 interacting protein
WWC1	WW and C2 domain containing 1
WWC2	WW and C2 domain containing 2
WWC2-AS1	WWC2 antisense RNA 1
WWC2-AS2	WWC2 antisense RNA 2
WWC3	WWC family member 3
WWC3-AS1	WWC3 antisense RNA 1
WWOX	WW domain containing oxidoreductase
WWP1	WW domain containing E3 ubiquitin protein ligase 1
WWP1P1	WW domain containing E3 ubiquitin protein ligase 1 pseudogene 1
WWP2	WW domain containing E3 ubiquitin protein ligase 2
WWTR1	WW domain containing transcription regulator 1
WWTR1-AS1	WWTR1 antisense RNA 1
WWTR1-IT1	WWTR1 intronic transcript 1
XAB2	XPA binding protein 2
XACT	X active specific transcript (non-protein coding)
XAF1	XIAP associated factor 1
XAGE1A	X antigen family member 1A
XAGE1B	X antigen family member 1B
XAGE1C	X antigen family member 1C
XAGE1D	X antigen family member 1D
XAGE1E	X antigen family member 1E
XAGE2	X antigen family member 2
XAGE3	X antigen family member 3
XAGE5	X antigen family member 5
XBP1	X-box binding protein 1
XBP1P1	X-box binding protein 1 pseudogene 1
XCE	X chromosome controlling element
XCL1	X-C motif chemokine ligand 1
XCL2	X-C motif chemokine ligand 2
XCR1	X-C motif chemokine receptor 1
XDH	xanthine dehydrogenase
XG	Xg blood group
XGR	XG and CD99 regulator
XGY1	Xg pseudogene, Y-linked 1
XGY2	Xg pseudogene, Y-linked 2
XIAP	X-linked inhibitor of apoptosis
XIAP-AS1	XIAP antisense RNA 1
XIC	X chromosome inactivation center
XIRP1	xin actin binding repeat containing 1
XIRP2	xin actin binding repeat containing 2
XIRP2-AS1	XIRP2 antisense RNA 1
XIST	X inactive specific transcript (non-protein coding)
XK	X-linked Kx blood group
XKR3	XK related 3
XKR4	XK related 4
XKR5	XK related 5
XKR6	XK related 6
XKR7	XK related 7
XKR8	XK related 8
XKR9	XK related 9
XKRX	XK related, X-linked
XKRY	XK related, Y-linked
XKRY2	XK related, Y-linked 2
XKRYP1	XK related, Y-linked pseudogene 1
XKRYP2	XK related, Y-linked pseudogene 2
XKRYP3	XK related, Y-linked pseudogene 3
XKRYP4	XK related, Y-linked pseudogene 4
XKRYP5	XK related, Y-linked pseudogene 5
XKRYP6	XK related, Y-linked pseudogene 6
XM	Xm(a) antigen
XPA	xeroderma pigmentosum, complementation group A
XPC	xeroderma pigmentosum, complementation group C
XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble
XPNPEP2	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound
XPNPEP3	X-prolyl aminopeptidase 3, mitochondrial
XPO1	exportin 1
XPO4	exportin 4
XPO5	exportin 5
XPO6	exportin 6
XPO7	exportin 7
XPOT	exportin for tRNA
XPOTP1	exportin for tRNA pseudogene 1
XPR1	xenotropic and polytropic retrovirus receptor 1
XRCC1	X-ray repair complementing defective repair in Chinese hamster cells 1
XRCC2	X-ray repair complementing defective repair in Chinese hamster cells 2
XRCC3	X-ray repair complementing defective repair in Chinese hamster cells 3
XRCC4	X-ray repair complementing defective repair in Chinese hamster cells 4
XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5
XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6
XRCC6P1	X-ray repair complementing defective repair in Chinese hamster cells 6 pseudogene 1
XRCC6P2	X-ray repair complementing defective repair in Chinese hamster cells 6 pseudogene 2
XRCC6P3	X-ray repair complementing defective repair in Chinese hamster cells 6 pseudogene 3
XRCC6P4	X-ray repair complementing defective repair in Chinese hamster cells 6 pseudogene 4
XRCC6P5	X-ray repair complementing defective repair in Chinese hamster cells 6 pseudogene 5
XRCC8	X-ray repair complementing defective repair in Chinese hamster cells 8
XRN1	5'-3' exoribonuclease 1
XRN2	5'-3' exoribonuclease 2
XRRA1	X-ray radiation resistance associated 1
XS	X-linked suppressor of LU antigens
XWNPEP	X-tryptophanyl aminopeptidase
XXYLT1	xyloside xylosyltransferase 1
XXYLT1-AS1	XXYLT1 antisense RNA 1
XXYLT1-AS2	XXYLT1 antisense RNA 2
XYLB	xylulokinase homolog (H. influenzae)
XYLT1	xylosyltransferase 1
XYLT2	xylosyltransferase 2
YAE1D1	Yae1 domain containing 1
YAF2	YY1 associated factor 2
YAM1	YY1-associated myogenesis RNA 1
YAP1	Yes associated protein 1
YAP1P1	Yes associated protein 1 pseudogene 1
YAP1P2	Yes associated protein 1 pseudogene 2
YAP1P3	Yes associated protein 1 pseudogene 3
YARS	tyrosyl-tRNA synthetase
YARS2	tyrosyl-tRNA synthetase 2
YBEY	ybeY metallopeptidase (putative)
YBX1	Y-box binding protein 1
YBX1P1	Y-box binding protein 1 pseudogene 1
YBX1P2	Y-box binding protein 1 pseudogene 2
YBX1P3	Y-box binding protein 1 pseudogene 3
YBX1P4	Y-box binding protein 1 pseudogene 4
YBX1P5	Y-box binding protein 1 pseudogene 5
YBX1P6	Y-box binding protein 1 pseudogene 6
YBX1P7	Y-box binding protein 1 pseudogene 7
YBX1P8	Y-box binding protein 1 pseudogene 8
YBX1P9	Y-box binding protein 1 pseudogene 9
YBX1P10	Y-box binding protein 1 pseudogene 10
YBX2	Y-box binding protein 2
YBX2P1	Y-box binding protein 2 pseudogene 1
YBX3	Y-box binding protein 3
YBX3P1	Y-box binding protein 3 pseudogene 1
YDJC	YdjC homolog (bacterial)
YEATS2	YEATS domain containing 2
YEATS2-AS1	YEATS2 antisense RNA 1
YEATS4	YEATS domain containing 4
YES1	YES proto-oncogene 1, Src family tyrosine kinase
YES1P1	YES1 pseudogene 1
YIF1A	Yip1 interacting factor homolog A, membrane trafficking protein
YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein
YIPF1	Yip1 domain family member 1
YIPF2	Yip1 domain family member 2
YIPF3	Yip1 domain family member 3
YIPF4	Yip1 domain family member 4
YIPF5	Yip1 domain family member 5
YIPF6	Yip1 domain family member 6
YIPF7	Yip1 domain family member 7
YJEFN3	YjeF N-terminal domain containing 3
YKT6	YKT6 v-SNARE homolog (S. cerevisiae)
YLPM1	YLP motif containing 1
YME1L1	YME1 like 1 ATPase
YME1L1P1	YME1L1 pseudogene 1
YOD1	YOD1 deubiquitinase
YPEL1	yippee like 1
YPEL2	yippee like 2
YPEL3	yippee like 3
YPEL4	yippee like 4
YPEL5	yippee like 5
YPEL5P1	YPEL5 pseudogene 1
YPEL5P2	YPEL5 pseudogene 2
YPEL5P3	YPEL5 pseudogene 3
YRDC	yrdC N6-threonylcarbamoyltransferase domain containing
YRDCP1	yrdC N(6)-threonylcarbamoyltransferase domain containing pseudogene 1
YRDCP2	yrdC N(6)-threonylcarbamoyltransferase domain containing pseudogene 2
YRDCP3	yrdC N(6)-threonylcarbamoyltransferase domain containing pseudogene 3
YTHDC1	YTH domain containing 1
YTHDC2	YTH domain containing 2
YTHDF1	YTH N6-methyladenosine RNA binding protein 1
YTHDF1P1	YTH domain family member 1 pseudogene 1
YTHDF2	YTH N6-methyladenosine RNA binding protein 2
YTHDF2P1	YTH domain family member 2 pseudogene 1
YTHDF3	YTH N6-methyladenosine RNA binding protein 3
YTHDF3-AS1	YTHDF3 antisense RNA 1 (head to head)
YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
YWHABP1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta pseudogene 1
YWHABP2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta pseudogene 2
YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
YWHAEP1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 1
YWHAEP2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 2
YWHAEP3	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 3
YWHAEP4	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 4
YWHAEP5	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 5
YWHAEP6	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 6
YWHAEP7	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 7
YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
YWHAQP1	YWHAQ pseudogene 1
YWHAQP2	YWHAQ pseudogene 2
YWHAQP3	YWHAQ pseudogene 3
YWHAQP4	YWHAQ pseudogene 4
YWHAQP5	YWHAQ pseudogene 5
YWHAQP6	YWHAQ pseudogene 6
YWHAQP7	YWHAQ pseudogene 7
YWHAQP8	YWHAQ pseudogene 8
YWHAQP9	YWHAQ pseudogene 9
YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
YWHAZP1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 1
YWHAZP2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 2
YWHAZP3	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 3
YWHAZP4	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 4
YWHAZP5	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 5
YWHAZP6	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 6
YWHAZP7	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 7
YWHAZP8	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 8
YWHAZP9	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 9
YY1	YY1 transcription factor
YY1AP1	YY1 associated protein 1
YY1P1	YY1 transcription factor pseudogene 1
YY1P2	YY1 transcription factor pseudogene 2
YY2	YY2 transcription factor
ZACN	zinc activated ion channel
ZACNP1	zinc activated ion channel pseudogene 1
ZADH2	zinc binding alcohol dehydrogenase domain containing 2
ZAN	zonadhesin (gene/pseudogene)
ZAP70	zeta chain of T cell receptor associated protein kinase 70kDa
ZAR1	zygote arrest 1
ZAR1L	zygote arrest 1-like
ZBBX	zinc finger B-box domain containing
ZBED1	zinc finger BED-type containing 1
ZBED1P1	zinc finger BED-type containing 1 pseudogene 1
ZBED2	zinc finger BED-type containing 2
ZBED3	zinc finger BED-type containing 3
ZBED3-AS1	ZBED3 antisense RNA 1
ZBED4	zinc finger BED-type containing 4
ZBED5	zinc finger BED-type containing 5
ZBED5-AS1	ZBED5 antisense RNA 1
ZBED6	zinc finger BED-type containing 6
ZBED6CL	ZBED6 C-terminal like
ZBED8	zinc finger BED-type containing 8
ZBED9	zinc finger BED-type containing 9
ZBP1	Z-DNA binding protein 1
ZBTB1	zinc finger and BTB domain containing 1
ZBTB2	zinc finger and BTB domain containing 2
ZBTB3	zinc finger and BTB domain containing 3
ZBTB4	zinc finger and BTB domain containing 4
ZBTB5	zinc finger and BTB domain containing 5
ZBTB6	zinc finger and BTB domain containing 6
ZBTB7A	zinc finger and BTB domain containing 7A
ZBTB7B	zinc finger and BTB domain containing 7B
ZBTB7C	zinc finger and BTB domain containing 7C
ZBTB8A	zinc finger and BTB domain containing 8A
ZBTB8B	zinc finger and BTB domain containing 8B
ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand
ZBTB8OSP1	zinc finger and BTB domain containing 8 opposite strand pseudogene 1
ZBTB8OSP2	zinc finger and BTB domain containing 8 opposite strand pseudogene 2
ZBTB9	zinc finger and BTB domain containing 9
ZBTB10	zinc finger and BTB domain containing 10
ZBTB11	zinc finger and BTB domain containing 11
ZBTB11-AS1	ZBTB11 antisense RNA 1
ZBTB12	zinc finger and BTB domain containing 12
ZBTB12BP	zinc finger and BTB domain containing 12B, pseudogene
ZBTB14	zinc finger and BTB domain containing 14
ZBTB16	zinc finger and BTB domain containing 16
ZBTB17	zinc finger and BTB domain containing 17
ZBTB18	zinc finger and BTB domain containing 18
ZBTB20	zinc finger and BTB domain containing 20
ZBTB20-AS1	ZBTB20 antisense RNA 1
ZBTB20-AS2	ZBTB20 antisense RNA 2
ZBTB20-AS3	ZBTB20 antisense RNA 3
ZBTB20-AS4	ZBTB20 antisense RNA 4
ZBTB21	zinc finger and BTB domain containing 21
ZBTB22	zinc finger and BTB domain containing 22
ZBTB24	zinc finger and BTB domain containing 24
ZBTB25	zinc finger and BTB domain containing 25
ZBTB26	zinc finger and BTB domain containing 26
ZBTB32	zinc finger and BTB domain containing 32
ZBTB33	zinc finger and BTB domain containing 33
ZBTB34	zinc finger and BTB domain containing 34
ZBTB37	zinc finger and BTB domain containing 37
ZBTB38	zinc finger and BTB domain containing 38
ZBTB39	zinc finger and BTB domain containing 39
ZBTB40	zinc finger and BTB domain containing 40
ZBTB40-IT1	ZBTB40 intronic transcript 1
ZBTB41	zinc finger and BTB domain containing 41
ZBTB42	zinc finger and BTB domain containing 42
ZBTB43	zinc finger and BTB domain containing 43
ZBTB44	zinc finger and BTB domain containing 44
ZBTB45	zinc finger and BTB domain containing 45
ZBTB45P1	zinc finger and BTB domain containing 45 pseudogene 1
ZBTB45P2	zinc finger and BTB domain containing 45 pseudogene 2
ZBTB46	zinc finger and BTB domain containing 46
ZBTB46-AS1	ZBTB46 antisense RNA 1
ZBTB47	zinc finger and BTB domain containing 47
ZBTB48	zinc finger and BTB domain containing 48
ZBTB49	zinc finger and BTB domain containing 49
ZC2HC1A	zinc finger C2HC-type containing 1A
ZC2HC1B	zinc finger C2HC-type containing 1B
ZC2HC1C	zinc finger C2HC-type containing 1C
ZC3H3	zinc finger CCCH-type containing 3
ZC3H4	zinc finger CCCH-type containing 4
ZC3H6	zinc finger CCCH-type containing 6
ZC3H7A	zinc finger CCCH-type containing 7A
ZC3H7B	zinc finger CCCH-type containing 7B
ZC3H8	zinc finger CCCH-type containing 8
ZC3H10	zinc finger CCCH-type containing 10
ZC3H11A	zinc finger CCCH-type containing 11A
ZC3H11B	zinc finger CCCH-type containing 11B pseudogene
ZC3H12A	zinc finger CCCH-type containing 12A
ZC3H12B	zinc finger CCCH-type containing 12B
ZC3H12C	zinc finger CCCH-type containing 12C
ZC3H12D	zinc finger CCCH-type containing 12D
ZC3H13	zinc finger CCCH-type containing 13
ZC3H14	zinc finger CCCH-type containing 14
ZC3H15	zinc finger CCCH-type containing 15
ZC3H18	zinc finger CCCH-type containing 18
ZC3H18-AS1	ZC3H18 antisense RNA 1 (head to head)
ZC3HAV1	zinc finger CCCH-type containing, antiviral 1
ZC3HAV1L	zinc finger CCCH-type containing, antiviral 1 like
ZC3HC1	zinc finger C3HC-type containing 1
ZC4H2	zinc finger C4H2-type containing
ZCCHC2	zinc finger CCHC-type containing 2
ZCCHC3	zinc finger CCHC-type containing 3
ZCCHC4	zinc finger CCHC-type containing 4
ZCCHC5	zinc finger CCHC-type containing 5
ZCCHC6	zinc finger CCHC-type containing 6
ZCCHC7	zinc finger CCHC-type containing 7
ZCCHC8	zinc finger CCHC-type containing 8
ZCCHC9	zinc finger CCHC-type containing 9
ZCCHC10	zinc finger CCHC-type containing 10
ZCCHC11	zinc finger CCHC-type containing 11
ZCCHC12	zinc finger CCHC-type containing 12
ZCCHC13	zinc finger CCHC-type containing 13
ZCCHC14	zinc finger CCHC-type containing 14
ZCCHC16	zinc finger CCHC-type containing 16
ZCCHC17	zinc finger CCHC-type containing 17
ZCCHC18	zinc finger CCHC-type containing 18
ZCCHC23	zinc finger CCHC-type containing 23
ZCCHC24	zinc finger CCHC-type containing 24
ZCRB1	zinc finger CCHC-type and RNA binding motif containing 1
ZCWPW1	zinc finger CW-type and PWWP domain containing 1
ZCWPW2	zinc finger CW-type and PWWP domain containing 2
ZDBF2	zinc finger DBF-type containing 2
ZDHHC1	zinc finger DHHC-type containing 1
ZDHHC2	zinc finger DHHC-type containing 2
ZDHHC3	zinc finger DHHC-type containing 3
ZDHHC4	zinc finger DHHC-type containing 4
ZDHHC4P1	zinc finger DHHC-type containing 4 pseudogene 1
ZDHHC5	zinc finger DHHC-type containing 5
ZDHHC6	zinc finger DHHC-type containing 6
ZDHHC7	zinc finger DHHC-type containing 7
ZDHHC8	zinc finger DHHC-type containing 8
ZDHHC8P1	zinc finger DHHC-type containing 8 pseudogene 1
ZDHHC9	zinc finger DHHC-type containing 9
ZDHHC11	zinc finger DHHC-type containing 11
ZDHHC11B	zinc finger DHHC-type containing 11B
ZDHHC12	zinc finger DHHC-type containing 12
ZDHHC13	zinc finger DHHC-type containing 13
ZDHHC14	zinc finger DHHC-type containing 14
ZDHHC15	zinc finger DHHC-type containing 15
ZDHHC16	zinc finger DHHC-type containing 16
ZDHHC17	zinc finger DHHC-type containing 17
ZDHHC18	zinc finger DHHC-type containing 18
ZDHHC19	zinc finger DHHC-type containing 19
ZDHHC20	zinc finger DHHC-type containing 20
ZDHHC20-IT1	ZDHHC20 intronic transcript 1
ZDHHC20P1	zinc finger DHHC-type containing 20 pseudogene 1
ZDHHC20P2	zinc finger DHHC-type containing 20 pseudogene 2
ZDHHC20P3	zinc finger DHHC-type containing 20 pseudogene 3
ZDHHC20P4	zinc finger DHHC-type containing 20 pseudogene 4
ZDHHC21	zinc finger DHHC-type containing 21
ZDHHC22	zinc finger DHHC-type containing 22
ZDHHC23	zinc finger DHHC-type containing 23
ZDHHC24	zinc finger DHHC-type containing 24
ZEB1	zinc finger E-box binding homeobox 1
ZEB1-AS1	ZEB1 antisense RNA 1
ZEB2	zinc finger E-box binding homeobox 2
ZEB2-AS1	ZEB2 antisense RNA 1
ZEB2P1	zinc finger E-box binding homeobox 2 pseudogene 1
ZER1	zyg-11 related, cell cycle regulator
ZFAND1	zinc finger AN1-type containing 1
ZFAND2A	zinc finger AN1-type containing 2A
ZFAND2B	zinc finger AN1-type containing 2B
ZFAND3	zinc finger AN1-type containing 3
ZFAND4	zinc finger AN1-type containing 4
ZFAND5	zinc finger AN1-type containing 5
ZFAND6	zinc finger AN1-type containing 6
ZFAND6P1	zinc finger AN1-type containing 6 pseudogene 1
ZFAS1	ZNFX1 antisense RNA 1
ZFAT	zinc finger and AT-hook domain containing
ZFAT-AS1	ZFAT antisense RNA 1
ZFC3H1	zinc finger C3H1-type containing
ZFHX2	zinc finger homeobox 2
ZFHX3	zinc finger homeobox 3
ZFHX4	zinc finger homeobox 4
ZFHX4-AS1	ZFHX4 antisense RNA 1
ZFP1	ZFP1 zinc finger protein
ZFP2	ZFP2 zinc finger protein
ZFP3	ZFP3 zinc finger protein
ZFP14	ZFP14 zinc finger protein
ZFP28	ZFP28 zinc finger protein
ZFP30	ZFP30 zinc finger protein
ZFP36	ZFP36 ring finger protein
ZFP36L1	ZFP36 ring finger protein-like 1
ZFP36L2	ZFP36 ring finger protein-like 2
ZFP37	ZFP37 zinc finger protein
ZFP41	ZFP41 zinc finger protein
ZFP42	ZFP42 zinc finger protein
ZFP57	ZFP57 zinc finger protein
